"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000023092.16",215.279686703744,8.83748802190465,0.945410659176078,9.3477770068792,8.95091459494602e-21,3.28914887243586e-18,"Fhl1"
"ENSMUSG00000048915.12",551.61519755811,1.95531619076928,0.212414936185,9.20517279004484,3.4112195466101e-20,1.19779289013303e-17,"Efna5"
"ENSMUSG00000071757.10",81.4449908946483,3.13355209855309,0.340333310670617,9.20730354715653,3.3441994106602e-20,1.19779289013303e-17,"Zhx2"
"ENSMUSG00000024084.8",144.970181035104,2.7428796016569,0.301165344604436,9.10755387629183,8.42602516892427e-20,2.89433964552549e-17,"Qpct"
"ENSMUSG00000040345.10",292.664669004072,-1.69771947767002,0.18718961370748,-9.06951750177245,1.1954520662927e-19,4.01900810627467e-17,"Arhgap9"
"ENSMUSG00000041559.7",12500.2395564528,10.9568721739713,1.20988158633464,9.05615251750817,1.35133076909889e-19,4.4484119755274e-17,"Fmod"
"ENSMUSG00000028132.15",66.3760376765829,3.66254513690469,0.409618484119353,8.94135708933857,3.84420002610979e-19,1.23963682882777e-16,"Tlcd4"
"ENSMUSG00000052949.14",144.22292567728,3.17159685874119,0.354865060584841,8.93747289043952,3.98171345798864e-19,1.25830108699357e-16,"Rnf157"
"ENSMUSG00000031841.19",217.970510088198,8.88618984198266,0.996583924213092,8.91664979344238,4.80606527015149e-19,1.48903210458164e-16,"Cdh13"
"ENSMUSG00000057751.14",288.963503090817,6.34427434630626,0.71201922602638,8.91025707509645,5.09143696273133e-19,1.54711145092534e-16,"Megf6"
"ENSMUSG00000056673.14",1548.86306033795,4.70280874382434,0.529651188416556,8.87906767071333,6.7423083163621e-19,2.01009837182712e-16,"Kdm5d"
"ENSMUSG00000027656.7",3639.65359683603,-2.65719552361733,0.300943914377172,-8.82953732131984,1.05109609670655e-18,3.07562396741856e-16,"Ccn5"
"ENSMUSG00000060314.13",91.0592053117025,-3.41229563756321,0.386607091844123,-8.82626239804991,1.08231928938555e-18,3.10940492574202e-16,"Zfp941"
"ENSMUSG00000070469.12",4690.21740850867,3.23629001763006,0.367831602657678,8.79829246385311,1.38913617285034e-18,3.91959654771576e-16,"Adamtsl3"
"ENSMUSG00000029754.13",76.0179171571986,2.89730269516882,0.330461574657175,8.76744201856,1.82771099495569e-18,4.97925197091291e-16,"Dlx6"
"ENSMUSG00000064294.12",1043.29901887795,-2.79501060639181,0.318746204273902,-8.76876514579616,1.8063637285281e-18,4.97925197091291e-16,"Aox3"
"ENSMUSG00000041556.8",135.914426809098,3.28043229003692,0.378232368843727,8.67306069035114,4.20657604476598e-18,1.12657810310758e-15,"Fbxo2"
"ENSMUSG00000006435.16",267.329029331341,-1.8222833650002,0.213213335132975,-8.54676075426375,1.26591227633144e-17,3.33377997971884e-15,"Neurl1a"
"ENSMUSG00000033088.19",4285.29241118466,-1.07932445830437,0.126333927760933,-8.54342517036927,1.30300903107368e-17,3.37522060655658e-15,"Triobp"
"ENSMUSG00000046561.9",522.297430625537,-1.60864140772582,0.190702964674073,-8.43532459222707,3.30284843255149e-17,8.4174690456042e-15,"Arsj"
"ENSMUSG00000068457.14",865.752338557689,4.79170901849731,0.56876094179278,8.4248208102924,3.61302751195756e-17,9.06181709784784e-15,"Uty"
"ENSMUSG00000020464.15",1552.52856091696,-1.04279109874857,0.123940146727202,-8.41366680841356,3.97388483387494e-17,9.81114910313406e-15,"Pnpt1"
"ENSMUSG00000032661.9",48.6097419808563,-4.61832626823416,0.551206455807294,-8.37857797124344,5.35709888217454e-17,1.30226952980369e-14,"Oas3"
"ENSMUSG00000030353.15",381.105104324201,-1.86320196830438,0.223530253311537,-8.33534584559174,7.72719919274116e-17,1.84996173400762e-14,"Tead4"
"ENSMUSG00000071454.13",1046.92536157894,-1.13386600006454,0.136459768693225,-8.30915962208308,9.63822006067043e-17,2.2730375399799e-14,"Dtnb"
"ENSMUSG00000024232.2",75.6025381138546,4.32270189184478,0.520788851921816,8.30029651343943,1.03851871388391e-16,2.4131814997176e-14,"Bambi"
"ENSMUSG00000019806.13",89.4872650199423,2.60963664045956,0.315309876208607,8.27641896866258,1.26934818235444e-16,2.90680733759166e-14,"Aig1"
"ENSMUSG00000049536.5",98.1606675751179,3.02984006532821,0.366620802291401,8.26423390705473,1.405946974513e-16,3.08546779781666e-14,"Tceal1"
"ENSMUSG00000068747.14",431.403848962565,2.91411758200033,0.352606216424304,8.26450994412893,1.40269771024642e-16,3.08546779781666e-14,"Sort1"
"ENSMUSG00000075012.4",510.538086494978,3.53569191509258,0.427772705350675,8.26535183490523,1.39283337426849e-16,3.08546779781666e-14,"Fjx1"
"ENSMUSG00000059895.13",1495.25875968213,-1.30411694717138,0.158705846671724,-8.21719536186267,2.08317561819588e-16,4.50907643056343e-14,"Ptp4a3"
"ENSMUSG00000062866.16",339.911826233406,3.99795968190592,0.488251701478773,8.18831694758516,2.64904451771922e-16,5.6564260033083e-14,"Phactr2"
"ENSMUSG00000082450.1",83.4717457439136,-4.02305977665676,0.493043948336376,-8.15963727012842,3.36032188996534e-16,7.07952615777899e-14,"Mageb7-ps"
"ENSMUSG00000021994.15",1223.97807751801,-2.01102790614732,0.247545750737548,-8.12386356928195,4.5157334922395e-16,9.38856643564162e-14,"Wnt5a"
"ENSMUSG00000037736.20",104.998345039512,4.12094917994968,0.509868120699906,8.08238250764289,6.35135200968546e-16,1.30334692344208e-13,"Limch1"
"ENSMUSG00000004951.10",120.296104499739,10.4231868762074,1.29625041078899,8.04102879308874,8.90873196094819e-16,1.80470350916593e-13,"Hspb1"
"ENSMUSG00000068246.6",724.934192746758,-2.03758905722448,0.253832854728701,-8.0272865362613,9.96521518234911e-16,1.99316917843416e-13,"Apol9b"
"ENSMUSG00000017491.9",177.281145209446,2.45396244700081,0.306142415237361,8.0157545144412,1.09462942091027e-15,2.1620299349754e-13,"Rarb"
"ENSMUSG00000049551.2",197.757043947685,4.83651507672579,0.608196639261139,7.95222262753931,1.83194659697619e-15,3.57365286158282e-13,"Fzd9"
"ENSMUSG00000020646.17",127.848118282902,9.54668857812934,1.20828876754763,7.90099919368239,2.76676443733274e-15,5.3314201066213e-13,"Mboat2"
"ENSMUSG00000024042.7",1116.47019951131,-1.20182787013793,0.152249573643132,-7.89380121979829,2.93118903453133e-15,5.58020698007584e-13,"Sik1"
"ENSMUSG00000063632.6",133.451361827752,2.20226769180732,0.27915514824765,7.88904559214361,3.0450627166655e-15,5.72798047452757e-13,"Sox11"
"ENSMUSG00000006731.10",638.226148080847,1.75281735830387,0.223177070825115,7.85393119384294,4.03195536961362e-15,7.40801474363545e-13,"B4galnt1"
"ENSMUSG00000025026.15",4013.97189036459,-1.15685294965427,0.147293499760961,-7.85406655101339,4.02760396950514e-15,7.40801474363545e-13,"Add3"
"ENSMUSG00000025964.15",9245.17892195967,1.69569673260481,0.216786768280841,7.82195678293467,5.20084657989159e-15,9.44581342630655e-13,"Adam23"
"ENSMUSG00000085786.1",107.240026338422,-3.51467709687596,0.455974455100396,-7.7080570140757,1.27747679746767e-14,2.29379669054394e-12,"Gm15987"
"ENSMUSG00000026556.15",75.2374067314857,9.74637338232281,1.26697263175152,7.69264713228179,1.44121594937062e-14,2.55872508045002e-12,"Vangl2"
"ENSMUSG00000031626.18",4782.97869604212,2.44041308985753,0.317335196598414,7.69033222919128,1.46753449916105e-14,2.57650140236042e-12,"Sorbs2"
"ENSMUSG00000025491.14",8977.54110293791,-1.24572339964641,0.162294409293631,-7.67570124607673,1.64516148881864e-14,2.85661502031025e-12,"Ifitm1"
"ENSMUSG00000068696.6",98.3997885449547,4.39957929710128,0.575156660436703,7.64935816575746,2.01984924425412e-14,3.43178902241499e-12,"Gpr88"
"ENSMUSG00000090063.6",78.4211865458722,2.30267622149141,0.300986982134575,7.65041798539266,2.0032707290039e-14,3.43178902241499e-12,"Dlx6os1"
"ENSMUSG00000057346.12",1086.48955534106,-1.89714318422854,0.248329776213249,-7.63961218488514,2.17876996134386e-14,3.66241959140365e-12,"Apol9a"
"ENSMUSG00000041923.15",43.7673005076659,-3.38543137085789,0.443753432675727,-7.62908210184324,2.36431036139914e-14,3.93247031794398e-12,"Nol4"
"ENSMUSG00000079017.3",1925.90650093114,-2.07278281787048,0.273085488429687,-7.59023421489557,3.19327753619805e-14,5.25593524473598e-12,"Ifi27l2a"
"ENSMUSG00000057596.13",2496.65993558165,-1.55749683990376,0.206332449151004,-7.54848229792449,4.40359548352915e-14,7.17332084899424e-12,"Trim30d"
"ENSMUSG00000075316.11",79.0150493892177,-6.45944646458734,0.857776031485636,-7.5304581003503,5.05626145067045e-14,8.15244767163713e-12,"Scn9a"
"ENSMUSG00000022485.3",44.8847686139312,4.61294608057591,0.613242478769497,7.52222202518003,5.38530291212572e-14,8.59526982974733e-12,"Hoxc5"
"ENSMUSG00000053702.16",92.2374661497334,5.3929533903952,0.718266171850311,7.50829372418099,5.99029822273867e-14,9.37155467499938e-12,"Nebl"
"ENSMUSG00000058297.16",88.6172930406574,3.85384999251049,0.513265383364274,7.50849388526821,5.98114799765962e-14,9.37155467499938e-12,"Spock2"
"ENSMUSG00000035694.15",103.303155812126,2.19929196230165,0.294424722340195,7.46979378912501,8.03205902396744e-14,1.2442604376246e-11,"Caps2"
"ENSMUSG00000051855.15",2997.09122412535,15.0620525004145,2.02221985284685,7.44827644690088,9.45675043476529e-14,1.45073896718181e-11,"Mest"
"ENSMUSG00000028755.3",500.417669592186,-1.63162743422841,0.219290382175143,-7.44048789574938,1.00314109108801e-13,1.52409926733477e-11,"Cda"
"ENSMUSG00000035900.18",1559.91462825134,-1.26057979894802,0.169718793187644,-7.42746148067589,1.10701605221558e-13,1.66590101343413e-11,"Gramd4"
"ENSMUSG00000027985.14",64.1834681381446,3.51002161585852,0.475634937604899,7.37965472749654,1.5870055087249e-13,2.36568623050586e-11,"Lef1"
"ENSMUSG00000020577.17",70.323188679869,9.64807235348016,1.31317917497893,7.34711038471577,2.02537601231143e-13,2.99093143649841e-11,"Tspan13"
"ENSMUSG00000030849.18",3015.46446487052,2.57262710912984,0.35164587732085,7.31595981937966,2.55548126818385e-13,3.73881106653454e-11,"Fgfr2"
"ENSMUSG00000003273.14",124.643969789984,-1.65087827167979,0.227066167706607,-7.27047225200408,3.58232893973281e-13,5.1930623464879e-11,"Car11"
"ENSMUSG00000032053.8",3375.91185331256,-1.57913131478276,0.2175800247983,-7.25770353343163,3.93717297691532e-13,5.65557001893082e-11,"Pou2af1"
"ENSMUSG00000036745.15",392.340676521056,2.25038890160546,0.311772814575658,7.21804081817839,5.27418871347698e-13,7.50787890645494e-11,"Ttll7"
"ENSMUSG00000023961.16",51.7237895030518,9.20345283644821,1.27607700385788,7.21230208570801,5.50137577551316e-13,7.7613605918646e-11,"Enpp4"
"ENSMUSG00000032561.15",404.123887973064,4.59782137806884,0.639084395844996,7.19438842187597,6.27413499391221e-13,8.77323956095636e-11,"Acpp"
"ENSMUSG00000038456.9",1038.39754177258,1.13240780717876,0.157893426920637,7.17197561205601,7.39231133581685e-13,1.02461325804598e-10,"Dennd2a"
"ENSMUSG00000112907.1",184.92302038859,3.55614476565933,0.496116214273867,7.16796722893694,7.61195169223083e-13,1.04588216251252e-10,"Gm47015"
"ENSMUSG00000021379.2",9346.86744534012,1.3196566144366,0.184394464505669,7.15670406904231,8.26398258952424e-13,1.1256826629058e-10,"Id4"
"ENSMUSG00000031355.16",135.221477462465,3.72187291046981,0.525173275295645,7.08694270167231,1.3710711475038e-12,1.8516491625391e-10,"Arhgap6"
"ENSMUSG00000061751.16",1001.603422287,1.19703906048709,0.169280999258794,7.07131376662705,1.53473674424776e-12,2.05511655049652e-10,"Kalrn"
"ENSMUSG00000036661.14",90.3923941764276,-2.19770818378833,0.311253292731748,-7.06083513044926,1.65504871028512e-12,2.19759871186682e-10,"Dennd3"
"ENSMUSG00000018821.3",1575.79268031267,-1.23403379224005,0.174954565215273,-7.05345293917671,1.74531554634199e-12,2.29814424564581e-10,"Avpi1"
"ENSMUSG00000027327.16",565.00985402707,-0.999440486850994,0.141743451292177,-7.05105229017489,1.77569744868344e-12,2.31882606501215e-10,"1700037H04Rik"
"ENSMUSG00000018417.14",3229.64282909136,1.18454108255686,0.168455138494666,7.03178955027467,2.03901193983373e-12,2.64085472633711e-10,"Myo1b"
"ENSMUSG00000022587.14",5831.73999707884,-1.52513755345356,0.218578480500301,-6.97752839146239,3.00418123045982e-12,3.82854331590699e-10,"Ly6e"
"ENSMUSG00000029156.11",2457.67072092006,1.48028878030267,0.212151317148592,6.9775139753946,3.00448940682531e-12,3.82854331590699e-10,"Sgcb"
"ENSMUSG00000059901.12",614.508315626888,-1.41244330852673,0.202880539443617,-6.96194574600523,3.35604760723171e-12,4.24231265934946e-10,"Adamts14"
"ENSMUSG00000044548.11",638.311611119191,2.59813015595861,0.37375491394565,6.95142741678153,3.61608449997702e-12,4.53474215747118e-10,"Dact1"
"ENSMUSG00000021186.9",2864.4953923121,1.76088485985575,0.256390613602145,6.86797708822605,6.51186763019692e-12,8.1018913720269e-10,"Fbln5"
"ENSMUSG00000030921.17",2305.66895101518,-1.14002677611002,0.166116772808436,-6.86280353775404,6.75220612759577e-12,8.33528195485475e-10,"Trim30a"
"ENSMUSG00000029755.10",490.599803613904,1.35214052699597,0.19718458918757,6.85723226428085,7.0207435255154e-12,8.59959445323014e-10,"Dlx5"
"ENSMUSG00000021803.10",258.845156314976,1.75257079432746,0.255770336601316,6.8521268635592,7.27599843446305e-12,8.8436962509962e-10,"Cdhr1"
"ENSMUSG00000044674.6",7827.04343567628,1.09345776968411,0.15998231350787,6.83486659061418,8.20813786083515e-12,9.90051804114933e-10,"Fzd1"
"ENSMUSG00000039883.5",2665.34293594073,1.4333032117874,0.209824581102503,6.83095948175493,8.43485569482857e-12,1.00969056692414e-09,"Lrrc17"
"ENSMUSG00000052776.10",41.6715459725738,-5.3044003110511,0.779543033977936,-6.80449966178677,1.01401026748605e-11,1.20468994259753e-09,"Oas1a"
"ENSMUSG00000046191.7",362.93779482716,1.5024317752489,0.221906963543862,6.77054812185707,1.2829540146738e-11,1.512832566109e-09,"Pcdhb20"
"ENSMUSG00000025366.8",1931.52285886887,1.26223925195589,0.18814562445424,6.70884191762262,1.96175046344976e-11,2.29611993133108e-09,"Esyt1"
"ENSMUSG00000007659.18",1793.9540504707,-0.844532594726938,0.125936781610435,-6.70600426600835,2.00025877015605e-11,2.32397711964968e-09,"Bcl2l1"
"ENSMUSG00000028480.14",4148.74053962767,-1.07534869917083,0.160432281194677,-6.70281997589965,2.04435267993891e-11,2.35786983180399e-09,"Glipr2"
"ENSMUSG00000052957.8",12769.3809242858,0.955083623391289,0.142681309568688,6.69382434376597,2.17412374202851e-11,2.48937168462265e-09,"Gas1"
"ENSMUSG00000062713.8",232.245765968157,-1.95463292278355,0.292375331776978,-6.68535512522149,2.30365319050972e-11,2.61870676713986e-09,"Sim2"
"ENSMUSG00000036139.6",50.3454669510667,7.30070029446002,1.09441013375019,6.67089975623933,2.54239843606834e-11,2.8694598348797e-09,"Hoxc9"
"ENSMUSG00000019880.10",980.798601416094,-3.30467387401164,0.49944010575132,-6.61675711653219,3.67164003659992e-11,4.11458044101527e-09,"Rspo3"
"ENSMUSG00000027221.5",1379.80572117897,-1.02691531071703,0.155360863708459,-6.60987127777608,3.84654341739878e-11,4.28022764354353e-09,"Chst1"
"ENSMUSG00000069892.9",78.3174249739255,-3.51571918343135,0.533359020164558,-6.59165599626803,4.34947478035922e-11,4.80601755275916e-09,"9930111J21Rik2"
"ENSMUSG00000021903.11",622.157003021681,-1.83466098020408,0.278530627502489,-6.58692724981451,4.49022154668584e-11,4.89310280408158e-09,"Galnt15"
"ENSMUSG00000040605.7",355.447298489379,3.02346728747077,0.458945856297636,6.58785180426597,4.4623570750818e-11,4.89310280408158e-09,"Bace2"
"ENSMUSG00000116097.1",42.5466359019559,-2.84712043237345,0.432592260377147,-6.58153345113304,4.65620718304368e-11,5.03922806159406e-09,"Gm36738"
"ENSMUSG00000048279.19",815.660522613985,1.22106225486333,0.186161564763907,6.55915336988008,5.4114124697879e-11,5.81671622007609e-09,"Sacs"
"ENSMUSG00000033585.5",145.863783706877,10.7015125952176,1.63193913392145,6.55754395049194,5.47011918479626e-11,5.84009143506525e-09,"Ndn"
"ENSMUSG00000071547.4",2047.75670708594,-1.22709717205052,0.187770410837243,-6.53509339719214,6.35698585108779e-11,6.74139150557303e-09,"Nt5dc2"
"ENSMUSG00000030134.11",128.011828031446,-2.7389186796298,0.420793512543031,-6.50893751445304,7.56841940608028e-11,7.97257300236497e-09,"Rasgef1a"
"ENSMUSG00000024600.8",43.403692247856,5.04208788257389,0.775261861395648,6.50372233389243,7.83564699276553e-11,8.19940782335683e-09,"Slc27a6"
"ENSMUSG00000018909.15",968.465925669624,-1.93023514384119,0.298520612321696,-6.46600289617891,1.00629149995485e-10,1.04607973623595e-08,"Arrb1"
"ENSMUSG00000029467.15",10982.1309358634,0.867287200501137,0.134296814411154,6.45798788529643,1.06104233376764e-10,1.09578626901062e-08,"Atp2a2"
"ENSMUSG00000105662.4",42.9044274807075,-3.52227485826545,0.54602056027924,-6.45080994104715,1.11253952273137e-10,1.14150889601808e-08,"Gm6639"
"ENSMUSG00000022419.16",566.285731477625,-3.3248345046427,0.516407124604324,-6.43839781875631,1.20741201138901e-10,1.23085917367469e-08,"Deptor"
"ENSMUSG00000024912.6",2370.80325045945,-1.89033297836982,0.293719136585612,-6.43585229190144,1.22782392334655e-10,1.23572266323559e-08,"Fosl1"
"ENSMUSG00000073530.11",19338.0519793091,3.45295361100492,0.536463643176973,6.43651001316006,1.22251774251714e-10,1.23572266323559e-08,"Pappa2"
"ENSMUSG00000026576.12",303.699354463378,3.3770107318132,0.525748533998249,6.42324326828164,1.33401044393262e-10,1.33409487497338e-08,"Atp1b1"
"ENSMUSG00000074156.6",41.1333801538435,-3.86305423435592,0.601715505522136,-6.42006762149792,1.36213824591339e-10,1.35365700777846e-08,"Ces1h"
"ENSMUSG00000051950.10",1379.35716819384,0.993230301499158,0.154807179844295,6.41591883850704,1.39976009171373e-10,1.38235057557304e-08,"B3glct"
"ENSMUSG00000027750.16",93173.1983502857,3.32594924048157,0.518760089570932,6.41134371619157,1.44242577528979e-10,1.40689936267617e-08,"Postn"
"ENSMUSG00000034910.5",767.009618729485,1.1547403762544,0.180105209560481,6.41147681997854,1.44116674389363e-10,1.40689936267617e-08,"Pygo1"
"ENSMUSG00000051375.15",494.102285010745,-2.64888738543761,0.413640007219831,-6.4038471598562,1.51509787110946e-10,1.46871542707979e-08,"Pcdh1"
"ENSMUSG00000040855.15",84.9300828247517,5.44226683159788,0.850177351701582,6.40133122895533,1.54028010656595e-10,1.48402231486881e-08,"Reps2"
"ENSMUSG00000020638.8",476.479231566996,-2.34773455044683,0.367520744935871,-6.38803273773427,1.68033371458523e-10,1.60914866813098e-08,"Cmpk2"
"ENSMUSG00000057604.9",905.26947480748,1.48635839680908,0.232713612234327,6.38707114095422,1.69092986914667e-10,1.60954113628834e-08,"Lmcd1"
"ENSMUSG00000046169.10",331.567741702597,1.74133156076544,0.273023659250708,6.37795114732689,1.79472739514728e-10,1.69811302818695e-08,"Adamts6"
"ENSMUSG00000057719.11",59.8285308648787,2.69107652249172,0.422380929649585,6.37120744235371,1.87545766215806e-10,1.76393491189045e-08,"Sh3rf2"
"ENSMUSG00000053647.4",286.898760415485,2.74886661427843,0.431898903290254,6.36460660894775,1.95790892364782e-10,1.8305869173112e-08,"Gper1"
"ENSMUSG00000109394.2",46.0228973032749,3.97876468314731,0.626482352878506,6.35096050968719,2.13974638985318e-10,1.98883133565118e-08,"A230057D06Rik"
"ENSMUSG00000028023.16",620.039786364782,1.00412726875752,0.158419921832821,6.33839012884479,2.32178319270125e-10,2.14540913613289e-08,"Pitx2"
"ENSMUSG00000039103.12",506.96356771531,1.11775039498674,0.177590842751699,6.29396413501761,3.09459354682181e-10,2.84288794379834e-08,"Nexn"
"ENSMUSG00000023046.6",6787.7070425951,-1.59791025127663,0.254485218067728,-6.27899043963868,3.40778544101732e-10,3.11250969673496e-08,"Igfbp6"
"ENSMUSG00000034220.7",10065.5218118473,1.31066436300229,0.208978185214111,6.27177598302633,3.56952905663495e-10,3.24150164505108e-08,"Gpc1"
"ENSMUSG00000070348.5",31952.8171965618,-1.15344294730518,0.184110314690176,-6.26495560146218,3.72931648530287e-10,3.36725313052975e-08,"Ccnd1"
"ENSMUSG00000030862.13",595.36798990101,5.88296973945684,0.940679934866043,6.25395474210322,4.0018702681984e-10,3.59281546067062e-08,"Cpxm2"
"ENSMUSG00000078771.10",215.837006480133,1.58107159817517,0.252872547718977,6.25244461068291,4.0407707556624e-10,3.60724399492777e-08,"Evi2a"
"ENSMUSG00000041633.14",159.473448427342,2.79836061464621,0.447643509972948,6.25131505830459,4.07010871735717e-10,3.61302178893038e-08,"Kctd12b"
"ENSMUSG00000004788.11",1263.41683882419,-1.02469446202088,0.163966136773475,-6.24942736460597,4.1196026904992e-10,3.63652749232279e-08,"Eif2b2"
